"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_part","BlockNumber","rt","stimulus","key_press","responses","question_order","button_pressed","InformedConsent","InitiationTime","MovementTime","TotalTime","start_time","PointRTLimit","ResponseCorrect","Feedback","TrialPoints","RuleBreak","PoliceCatch","ConformityCritical","PointAdvantage","TargetLocation","BlockadePosition","MouseStartX","MouseStartY","MouseEndX","MouseEndY","ScreenXMax","ScreenYMax","StartLocationX","StartLocationY","TargetLocationX","TargetLocationY","OppositeLocationX","OppositeLocationY","LocationMarkerXSize","LocationMarkerYSize","BlockadeLocationX","BlockadeLocationY","BlockadeXSize","BlockadeYSize","MouseX","MouseY","TrialTimeStamp","Target_Symbol","RuleType","Practice","TrialNumber","TrialNumberBlock","PointSum","RuleBreakRisk"
"pavlovia","0","4","0.0-0.0","byszkmchdc0obfy","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","1","74100","0.0-1.0-0.0","byszkmchdc0obfy","instruction","1","74093","<div align=left><b>Vielen Dank, dass Sie an unserem Experiment teilnehmen möchten!</b> <br><br>Im Rahmen dieses Projektes an der Albert-Ludwigs-Universität Freiburg untersuchen wir wie Menschen ihre Handlungen steuern. <br> Dabei wird es Ihre Aufgabe sein, in verschiedenen Situationen so schnell und korrekt wie möglich mit der Maus zu reagieren. <br> Durch korrektes und schnelles Reagieren sammeln sie Punkte. <br><br>Wichtig ist, dass Sie sich an einem PC oder Laptop befinden und <b>eine Maus zur Verfügung haben</b>. Eine Teilnahme vom Smartphone <br>oder Tablet aus oder mittels Laptop-Touchpad ist leider nicht möglich! Falls Sie gerade nicht von einem PC/Laptop mit Maus <br> teilnehmen, beenden Sie den Versuch bitte jetzt und starten Sie ihn von einem geeigneten Gerät aus neu. <br><br>Das Experiment wird insgesamt etwa 35-40 Minuten in Anspruch nehmen. Bitte stellen Sie sicher, dass Sie während dieser Zeit <b>ungestört</b> <br>die Aufgabe bearbeiten können! Psychologiestudierende der Universität Freiburg erhalten für die Teilnahme <b>0,5 VP-Stunden</b>. Darüber <br>hinaus haben alle Teilnehmer*innen die <b>Chance auf einen 30€-Gutschein (Amazon)</b>. Dieser wird nach Abschluss der Studie an die <br>Person, die die meisten Punkte gesammelt hat, vergeben.<br><br><b>Wichtig: </b>Verlassen Sie dieses Browser-Fenster ausschließlich in den mit “PAUSE” gekennzeichneten Abschnitten des <br>Experiments und schließen Sie das Browser-Fenster nach Beendigung der Studie erst, wenn Sie dazu aufgefordert werden.<br> Klicken Sie hierzu auf den entsprechenden Button am Ende der Studie.<br>Falls Sie das Browser-Fenster dieser Studie außerhalb der Pausen verlassen oder vorzeitig schließen, können wir Ihre Teilnahme <br>nicht verbuchen. <br><br> Drücken Sie ENTER um zu beginnen. <br> ","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","78121","0.0-1.0-1.0","byszkmchdc0obfy","survey","1","4018","","","{""DeviceUsed"":""Laptop mit Maus""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","90928","0.0-1.0-2.0","byszkmchdc0obfy","instruction","1","12805","<div align=left><strong> Informierte Einwilligung</strong>  <br>Ziel unserer Forschung ist es, menschliches Verhalten und mentale Prozesse besser zu verstehen. <br>In der folgenden Untersuchung wird dazu Ihr Verhalten (z.B. Wahlverhalten, Reaktionszeiten) aufgezeichnet. <br> <br><strong> Freiwilligkeit und Anonymität </strong> <br>Die Teilnahme an der Studie ist <strong>freiwillig</strong>.<br>Sie können jederzeit und ohne Angabe von Gründen Ihre Einwilligung zur Teilnahme an dieser  Studie widerrufen. <br><br> Da keine personenbezogenen Daten erhoben werden, ist nach Abschluss der Datenerhebung prinzipiell <br> <strong>keine Zuordnung mehr zwischen den Daten im Datensatz und Ihrer Person</strong> möglich – der Datensatz ist anonym. <br>Entsprechend ist nach Abschluss dieser Datenerhebung auch keine gezielte Löschung Ihres persönlichen <br>Datensatzes möglich, da wir diesen nicht zuordnen können.<br>Die Ergebnisse und Daten der Studie können als wissenschaftliche Publikation veröffentlicht werden. Dies geschieht <br>in <strong>anonymisierter Form</strong>, d. h. ohne dass die Daten einer spezifischen Person zugeordnet werden können.<br>Die vollständigen Daten dieser Studie können zur Gewährleistung von Transparenz in der Wissenschaft als offene <br>Daten im Internet in einem Datenarchiv und/oder anderen Forschenden zugänglich gemacht werden. <br> Damit folgt diese Studie den Empfehlungen der Deutschen Forschungsgemeinschaft (DFG) und der Deutschen <br>Gesellschaft für Psychologie (DGPs) zur Qualitätssicherung in der Forschung. <br><br> Wenn Sie jetzt oder nach dem Versuch Fragen haben, wenden Sie sich bitte an Christina Pfeuffer <br>(christina.pfeuffer@psychologie.uni-freiburg.de).<br><br>Hiermit versichere ich, dass ich die oben beschriebenen Teilnahmeinformationen verstanden habe <br>und mit den genannten Teilnahmebedingungen einverstanden bin.<br><br> </div>","","","","0","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","4","93368","0.0-1.0-3.0-0.0","byszkmchdc0obfy","survey","1","2436","","","{""Age"":""31""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","5","95199","0.0-1.0-3.0-1.0","byszkmchdc0obfy","survey","1","1830","","","{""Handedness"":""rechts""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","6","101631","0.0-1.0-3.0-2.0","byszkmchdc0obfy","survey","1","6430","","","{""Gender"":""weiblich"",""SchoolLevel"":""Abitur"",""EducationLevel"":""Promotion oder höher""}","[0,1,2]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","139674","0.0-2.0-0.0","byszkmchdc0obfy","instruction","1","38040","<b>Hinweise zur Aufgabe </b><br><br>Ihre Aufgabe wird es nun sein, Ihre Maus jeweils so schnell wie möglich von einem Startfeld (unten mittig) aus zu <br> einem von zwei Zielorten rechts und links oben auf dem Bildschirm zu bewegen. Vor jedem Durchgang wird Ihnen das Symbol <br>des Zielorts angezeigt (<img src='img/King_2.png' width='20' height='20'></img> oder <img src='img/Pawn.png' width='20' height='20'></img>) zu dem Sie sich bewegen sollen. Sobald Sie danach mit der Maus auf das Startfeld <br>(unten mittig) klicken, erscheint dieses Symbol zufällig entweder am rechten oder linken Zielort oben auf dem Bildschirm. <br><br><b>Bewegen Sie die Maus so schnell wie möglich auf das Symbol und vermeiden Sie dabei Fehler! </b><br><br>Gemeinsam mit dem Symbol, zu dem Sie sich im aktuellen Durchgang bewegen sollen, sehen Sie auch entweder die Zahl 1 oder 10. <br>Das ist die Anzahl Punkte, die Sie in diesem Durchgang erhalten können. <br><br><b> Der/die Teilnehmer*in, der/die im Hauptexperiment die meisten Punkte sammelt, erhält den 30€-Gutschein (Amazon). </b><br><br>Üben wir zunächst einmal die Aufgabe, ohne dass die Punkte von Bedeutung sind. <br>Bewegen Sie die Maus so schnell wie möglich auf das richtige Symbol! Sie können dabei den gesamten Bildschirm ausnutzen. <br>Die Umgebungsmerkmale die Ihnen angezeigt werden sind noch nicht von Bedeutung und können mit der Maus überfahren werden. <br><br>Drücken Sie ENTER um mit der Übung zu beginnen. ","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rule-violation","8","143386","0.0-2.0-1.0-0.0","byszkmchdc0obfy","practice","1","","","","","","","","363","384","747","142383","1000","true","richtig!","10","true","false","true","10","2","2","601","505.3666687011719","1071","65.36666870117188","1216","576","587.52","494.08","1068.8","40.96","106.23999999999995","40.96","40.96","40.96","659.2","167.04000000000002","430.08","241.92","640,679,723,812,881,947,989,1024,1034,1037,1038,1038,1039,1040,1045,1048,1051,1051,1057,1063,1067,1071","461.3666687011719,421.3666687011719,373.3666687011719,287.3666687011719,233.36666870117188,188.36666870117188,164.36666870117188,140.36666870117188,130.36666870117188,125.36666870117188,123.36666870117188,123.36666870117188,122.36666870117188,119.36666870117188,116.36666870117188,113.36666870117188,109.36666870117188,109.36666870117188,101.36666870117188,89.36666870117188,77.36666870117188,65.36666870117188","363,379,396,413,430,446,462,479,497,512,530,547,597,614,630,646,662,679,696,713,730,746","king","Corona","1","1","1","",""
"rule-violation","9","146889","0.0-2.0-1.0-0.1","byszkmchdc0obfy","practice","1","","","","","","","","372","332","704","145973","1000","true","richtig!","1","true","false","true","1","1","1","613","503.3666687011719","113","62.366668701171875","1216","576","587.52","494.08","106.23999999999995","40.96","1068.8","40.96","40.96","40.96","126.72000000000003","167.04000000000002","430.08","241.92","543,455,349,249,151,73,55,48,47,47,48,51,51,56,70,88,103,113","439.3666687011719,363.3666687011719,292.3666687011719,221.36666870117188,153.36666870117188,90.36666870117188,71.36666870117188,59.366668701171875,55.366668701171875,53.366668701171875,52.366668701171875,50.366668701171875,50.366668701171875,51.366668701171875,55.366668701171875,59.366668701171875,61.366668701171875,62.366668701171875","372,388,405,421,437,455,471,488,505,521,538,555,572,638,655,672,687,704","king","Corona","1","2","2","",""
